location,source,target,id,fuzzy,context,translator_comments,developer_comments
,,,aasimar,False,,"aasimar* A planar scion descended from a celestial. 8–11, Advanced Player’s Guide 34–36",
,,Абадар,Abadar,False,,"Abadar Lawful neutral god of cities, law, and wealth. Known as the Master of the First Vault. Gods & Magic 12–13",
,,Абсалом,Absalom,False,,"Absalom The largest city in the Inner Sea region, founded by Aroden and located on Starstone Isle. Absalom, City of Lost Omens",
,,Літочислення Абсалома,Absalom_Reckoning,False,,"Absalom Reckoning The most commonly used calendar in Avistan and Garund, consisting of 52 weeks across 12 months. The current year is 4721 ar.",
,,,Abyssal,False,,Abyssal Believed to be the first language developed in the Outer Sphere. Commonly spoken by demons.,
,,,agathion,False,,"agathion A type of celestial with bestial features, born of the enlightened soul of a good mortal. Native to Nirvana.",
,,Епоха Темряви,Age_of_Darkness,False,,"Age of Darkness The age following Earthfall, ranging from –5293 ar to –4294 ar. World Guide 6",
,,Епоха Втрачених Ознак,Age_of_Lost,False,,"Age of Lost Omens The current age, brought about by the death of Aroden in 4606 ar. World Guide 8–9",
,,,Akiton,False,,Akiton Fourth planet from the sun. Known as the Red Planet. World Guide 9,
,,Андоран,Andoran,False,,Andoran A relatively young nation in southern Avistan known for its adherence to democracy and personal freedom. World Guide 122–124,
,,,android,False,,android* A synthetic humanoid ancestry created by artificial means. Most common in Numeria. 68–73,
,,,aphorite,False,,"aphorite* A type of planar scion descended from a being from Axis, the Plane of Law. 74–77",
,,Аразні,Arazni,False,,"Arazni Neutral evil god of the abused, dignity, and unwilling undeath. Known as the Unyielding. Gods & Magic 54",
,,Аркадія,Arcadia,False,,"Arcadia One of Golarion’s continents, lying west of the Inner Sea region past the ruins of Azlant. World Guide 6–7",
,,,Ascended,False,,Ascended The title for the deities who achieved their apotheosis by completing the Test of the Starstone.,
,,Авістан,Avistan,False,,Avistan One of Golarion’s continents. Comprises the northern half of the Inner Sea region. World Guide 7,
,,,Axis,False,,Axis A massive planar city known for its adherence to law. Home to the monitors known as aeons. The plane is lawful neutral. Gamemastery Guide 142,
,,,azarketi,False,,"azarketi* Amphibious humanoids who live among the seas of the Inner Sea region, said to have descended from the people of Azlant. Sometimes known as gillmen or Low Azlanti. 12–15",
,,Азлант,Azlant,False,,"Azlant A vast empire during the Age of Legend, destroyed during Earthfall. Its ruins remain as islands in the Arcadian Ocean. World Guide 8, 62–63",
,,,Azlanti,False,,Azlanti The athletic humans of the ancient empire of Azlant. Previously thought lost during Earthfall. Character Guide 10,
,,Бар'єрна Стіна,Barrier_Wall,False,,"Barrier Wall A large mountain range spanning across southern Osirion, Rahadoum, and Thuvia. World Guide 50–51",
,,,beastkin,False,,beastkin* Humanoids that can partially or fully transform into animal forms. 78–81,
,,Белкзен,Belkzen,False,,"Belkzen A region in northwestern Avistan, known as the home of several orc clans. World Guide 38–40",
,,Бесмара,Besmara,False,,"Besmara Chaotic neutral goddess of piracy, sea monsters, and strife. Known as the Pirate Queen. Gods & Magic 55",
,,,Bleaching,False,,"Bleaching A process brought on by ennui that decolors and ages a gnome, typically culminating in their death.",
,,,Boneyard,False,,"Boneyard A plane where the souls of the dead travel in the afterlife, home to the monitors known as psychopomps. The plane is neutral. Gamemastery Guide 142–143",
,,Бревой,Brevoy,False,,"Brevoy A nation in northeastern Avistan, known for its political uncertainty. World Guide 26–28",
,,,Broken_Lands,False,,"Broken Lands A region in northeastern Avistan consisting of Brevoy, the Lake of Mists and Veils, Mendev, Numeria, Razmiran, the River Kingdoms, and the Sarkoris Scar. World Guide 24–35",
,,Калістрія,Calistria,False,,"Calistria Chaotic neutral goddess of lust, revenge, and trickery. Known as the Savored Sting. Gods & Magic 16–17",
,,Касандалі,Casandalee,False,,"Casandalee Neutral goddess of artificial life, free thinking, and intellectual apotheosis; known as the Iron Goddess. Gods & Magic 57",
,,Касмарон,Casmaron,False,,"Casmaron One of Golarion’s continents, located immediately east of the Inner Sea region. World Guide 7",
,,,catfolk,False,,"catfolk* Humanoids with feline features and a love of discovery. 16–19, Advanced Player’s Guide 8–11",
,,Кайден Кайлефн,Cayden_Cailean,False,,"Cayden Cailean Chaotic good god of ale, bravery, freedom, and wine. Also known as the Accidental God. Gods & Magic 18–19",
,,,celestial,False,,celestial A creature that hails from or has a strong connection to one of the good-aligned planes.,
,,,changeling,False,,"changeling* The offspring of a hag and a member of some other humanoid ancestry. 20–23, Advanced Player’s Guide 30–31",
,,Челіакс,Cheliax,False,,Cheliax A nation in southwest Avistan. Known for its ties to diabolic rule. World Guide 98–100,
,,Звичайний,Common,False,,"Common An alternate name for Taldane, the most widespread language in the Inner Sea region.",
,,Корона Світу,Crown_of_the_World,False,,Crown of the World The northernmost of Golarion’s continents that connects Avistan to Tian Xia. World Guide 7,
,,Темнозем'я,Darklands,False,,"Darklands The immense area of caverns, vaults, and passages beneath the surface of Golarion. World Guide 7–8",
,,,Dead_Roads,False,,Dead Roads The metaphysical network connecting the Boneyard to the Material Plane. Used by psychopomps to travel between these planes.,
,,Дезна,Desna,False,,"Desna Chaotic good goddess of dreams, luck, stars, and travelers. Known as the Song of the Spheres. Gods & Magic 20–21",
,,,dhampir,False,,"dhampir* The immortal offspring of a vampire and a member of another ancestry. 24–27, Advanced Player’s Guide 32–33",
,,Драконова,Draconic,False,,Draconic The ancient language of dragons. drow Descendants of ancient elves who live within the Darklands.,
