location,source,target,id,fuzzy,context,translator_comments,developer_comments
,,aasimar,aasimar,,,"aasimar* A planar scion descended from a celestial. 8–11, Advanced Player’s Guide 34–36",
,,Abadar,Abadar,,,"Abadar Lawful neutral god of cities, law, and wealth. Known as the Master of the First Vault. Gods & Magic 12–13",
,,Absalom,Absalom,,,"Absalom The largest city in the Inner Sea region, founded by Aroden and located on Starstone Isle. Absalom, City of Lost Omens",
,,Absalom Reckoning,Absalom_Reckoning,,,"Absalom Reckoning The most commonly used calendar in Avistan and Garund, consisting of 52 weeks across 12 months. The current year is 4721 ar.",
,,Abyssal,Abyssal,,,Abyssal Believed to be the first language developed in the Outer Sphere. Commonly spoken by demons.,
,,agathion,agathion,,,"agathion A type of celestial with bestial features, born of the enlightened soul of a good mortal. Native to Nirvana.",
,,Age of Darkness,Age_of_Darkness,,,"Age of Darkness The age following Earthfall, ranging from –5293 ar to –4294 ar. World Guide 6",
,,Age of Lost Omens,Age_of_Lost_Omens,,,"Age of Lost Omens The current age, brought about by the death of Aroden in 4606 ar. World Guide 8–9",
,,Akiton,Akiton,,,Akiton Fourth planet from the sun. Known as the Red Planet. World Guide 9,
,,Andoran,Andoran,,,Andoran A relatively young nation in southern Avistan known for its adherence to democracy and personal freedom. World Guide 122–124,
,,android,android,,,android* A synthetic humanoid ancestry created by artificial means. Most common in Numeria. 68–73,
,,aphorite,aphorite,,,"aphorite* A type of planar scion descended from a being from Axis, the Plane of Law. 74–77",
,,Arazni,Arazni,,,"Arazni Neutral evil god of the abused, dignity, and unwilling undeath. Known as the Unyielding. Gods & Magic 54",
,,Arcadia,Arcadia,,,"Arcadia One of Golarion’s continents, lying west of the Inner Sea region past the ruins of Azlant. World Guide 6–7",
,,Ascended,Ascended,,,Ascended The title for the deities who achieved their apotheosis by completing the Test of the Starstone.,
,,Avistan,Avistan,,,Avistan One of Golarion’s continents. Comprises the northern half of the Inner Sea region. World Guide 7,
,,Axis,Axis,,,Axis A massive planar city known for its adherence to law. Home to the monitors known as aeons. The plane is lawful neutral. Gamemastery Guide 142,
,,azarketi,azarketi,,,"azarketi* Amphibious humanoids who live among the seas of the Inner Sea region, said to have descended from the people of Azlant. Sometimes known as gillmen or Low Azlanti. 12–15",
,,Azlant,Azlant,,,"Azlant A vast empire during the Age of Legend, destroyed during Earthfall. Its ruins remain as islands in the Arcadian Ocean. World Guide 8, 62–63",
,,Azlanti,Azlanti,,,Azlanti The athletic humans of the ancient empire of Azlant. Previously thought lost during Earthfall. Character Guide 10,
,,Barrier Wall,Barrier_Wall,,,"Barrier Wall A large mountain range spanning across southern Osirion, Rahadoum, and Thuvia. World Guide 50–51",
,,beastkin,beastkin,,,beastkin* Humanoids that can partially or fully transform into animal forms. 78–81,
,,Belkzen,Belkzen,,,"Belkzen A region in northwestern Avistan, known as the home of several orc clans. World Guide 38–40",
,,Besmara,Besmara,,,"Besmara Chaotic neutral goddess of piracy, sea monsters, and strife. Known as the Pirate Queen. Gods & Magic 55",
,,Bleaching,Bleaching,,,"Bleaching A process brought on by ennui that decolors and ages a gnome, typically culminating in their death.",
